"Psalm 33:12","Blessed is the nation whose God is the Lord, the people whom he has chosen as his heritage!"
"Deuteronomy 28:8","The Lord will command the blessing on you in your barns and in all that you undertake. And he will bless you in the land that the Lord your God is giving you."
"Proverbs 16:7","When a man’s ways please the Lord, he makes even his enemies to be at peace with him."
"Psalm 119:2","Blessed are those who keep his testimonies, who seek him with their whole heart,"
"Psalm 1:1","Blessed is the man who walks not in the counsel of the wicked, nor stands in the way of sinners, nor sits in the seat of scoffers"
"Proverbs 10:7","The memory of the righteous is a blessing."
"Psalm 127:5","Blessed is the man who fills his quiver with them! He shall not be put to shame when he speaks with his enemies in the gate."
"Psalm 84:11","For the Lord God is a sun and shield; the Lord bestows favor and honor. No good thing does he withhold from those who walk uprightly"
"Ephesians 3:20","Now to him who is able to do far more abundantly than all that we ask or think, according to the power at work within us"
"Psalm 146:5","Blessed is he whose help is the God of Jacob, whose hope is in the Lord his God"
"Psalm 3:8","Salvation belongs to the Lord; your blessing be on your people."
"Genesis 27:28","May God give you of the dew of heaven and of the richness of the earth"
"Luke 1:37","For nothing will be impossible with God."
"Matthew 25:21","Well done, good and faithful servant. You have been faithful over a little; I will set you over much."
"2 Samuel 22:4","I will call upon the Lord, who is worthy to be praised, and I am saved from my enemies."
"Romans 8:28","And we know that for those who love God all things work together for good, for those who are called according to his purpose."
"Psalm 5:12","For you bless the righteous, O Lord; you cover him with favor as with a shield."
"1 John 5:18","We know that everyone who has been born of God does not keep on sinning, but he who was born of God protects him, and the evil one does not touch him."
"Psalm 90:17","Let the favor of the Lord our God be upon us, and establish the work of our hands upon us."
"Romans 15:13","May the God of hope fill you with all joy and peace in believing, so that by the power of the Holy Spirit you may abound in hope."
"Ezekiel 34:26","And I will make them and the places all around my hill a blessing, and I will send down the showers in their season; they shall be showers of blessing."
"Isaiah 44:3","I will pour my Spirit upon your offspring, and my blessing on your descendants."
"Habakkuk 3:19","God, the Lord, is my strength; he makes my feet like the deer's; he makes me tread on my high places"
"James 1:5","If any of you lacks wisdom, let him ask God, who gives generously to all without reproach, and it will be given him."
"Zechariah 8:13","O house of Judah and house of Israel, so I will save you, and you shall be a blessing. Fear not, but let your hands be strong."
"Psalm 138:7","Though I walk in the midst of trouble, you preserve my life; you stretch out your hand against the wrath of my enemies, and your right hand delivers me."
"Psalm 29:11","May the Lord give strength to his people! May the Lord bless his people with peace!"
"Matthew 5:5","Blessed are the meek, for they shall inherit the earth."
"Colossians 1:11","May you be strengthened with all power, according to his glorious might, for all endurance and patience with joy."
"Philippians 1:6","And I am sure of this, that he who began a good work in you will bring it to completion at the day of Jesus Christ."
"1 Corinthians 2:9","What no eye has seen, nor ear heard, nor the heart of man imagined, what God has prepared for those who love him"
"Psalm 145:16","You open your hand; you satisfy the desire of every living thing."
"Isaiah 41:10","So do not fear, for I am with you; do not be dismayed, for I am your God. I will strengthen you and help you; I will uphold you with my righteous right hand."
"Isaiah 44:3","For I will pour out water on the thirsty land. And streams on the dry ground;I will pour out My Spirit on your offspring.  And My blessing on your descendants."
"Isaiah 41:18","I will open rivers on the bare heights. And springs in the midst of the valleys; I will make the wilderness a pool of water. And the dry land fountains of water."
"Leviticus 26:3-5","If you follow My statutes and carefully keep My commandments, I will give you rains in their season, and the land will yield its produce,and the trees of the field will bear their fruit. Your threshing will continue until the grape harvest, and the grape harvest will continue until sowing time; you will have your fill of food to eat and will dwell securely in your land.…"
"Proverbs 10:22","The blessing of the Lord brings wealth, without painful toil for it."
"Genesis 50:20","But as for you, ye thought evil against me; but God meant it unto good, to bring to pass, as it is this day, to save much people alive."
"Deuteronomy 28:7 ESV","The Lord will cause your enemies who rise against you to be defeated before you. They shall come out against you one way and flee before you seven ways."
"Jeremiah 17:7-8","Blessed is the man who trusts in the Lord, whose trust is the Lord. He is like a tree planted by water, that sends out its roots by the stream, and does not fear when heat comes, for its leaves remain green, and is not anxious in the year of drought, for it does not cease to bear fruit."
"Deuteronomy 28:13","And the Lord will make you the head and not the tail, and you shall only go up and not down, if you obey the commandments of the Lord your God, which I command you today, being careful to do them,"
"Jeremiah 29:13-14","You will seek Me and find Me when you search for Me with all your heart. I will be found by you,’ declares the Lord, ‘and I will restore your fortunes and will gather you from all the nations and from all the places where I have driven you,’ declares the Lord, ‘and I will bring you back to the place from where I sent you into exile.’"
"Jeremiah 30:17","For I will restore health to you, and your wounds I will heal,” declares the Lord, “because they have called you an outcast: ‘It is Zion, for whom no one cares!"
"Isaiah 57:15","For thus says the One who is high and lifted up, who inhabits eternity, whose name is Holy: “I dwell in the high and holy place, and also with him who is of a contrite and lowly spirit, to revive the spirit of the lowly, and to revive the heart of the contrite."
"Isaiah 54:10","Though the mountains be shaken and the hills be removed, yet my unfailing love for you will not be shaken nor my covenant of peace be removed,” says the LORD, who has compassion on you."
"Psalms 91:3","Surely he will save you from the fowler’s snare and from the deadly pestilence."
"Amos 3:7","Surely the Lord GOD does nothing, Unless He reveals His secret to His servants the prophets."
"Isaiah 52:12","For you will not go out in a hurry [as when you left Egypt], Nor will you go in flight [fleeing, as you did from the Egyptians]; For the Lord will go before you, And the God of Israel will be your rear guard."
"Isaiah 58:8","Then your light will break forth like the dawn, and your healing will quickly appear; then your righteousness will go before you, and the glory of the LORD will be your rear guard."
"Isaiah 45:3","I will give you hidden treasures, riches stored in secret places, so that you may know that I am the LORD, the God of Israel, who summons you by name."
"2 Chronicles 7:14","If my people, who are called by my name, will humble themselves and pray and seek my face and turn from their wicked ways, then I will hear from heaven, and I will forgive their sin and will heal their land."
"Isaiah 61:1","The Spirit of the Sovereign LORD is on me, because the LORD has anointed me to proclaim good news to the poor. He has sent me to bind up the brokenhearted, to proclaim freedom for the captives and release from darkness for the prisoners."
"Psalms 37:23- 24","The LORD makes firm the steps of the one who delights in him; though he may stumble, he will not fall, for the LORD upholds him with his hand."
"Isaiah 12:2","Behold, God is my salvation; I will trust, and not be afraid: for the LORD JEHOVAH is my strength and my song; he also is become my salvation."
"Deuteronomy 23:5","But the Lord your God wasn’t interested in listening to Balaam. The Lord your God turned that curse into a blessing because the Lord your God loves you."
"Job 8:7","Although your former state was ordinary, your future will be extraordinary."
"Deuteronomy 31:8","But the Lord is the one who is marching before you! He is the one who will be with you! He won’t let you down. He won’t abandon you. So don’t be afraid or scared!"
"Isaiah 54:4-5","Do not be afraid; you will not be put to shame. Do not fear disgrace; you will not be humiliated. You will forget the shame of your youth and remember no more the reproach of your widowhood. 5 For your Maker is your husband— the LORD Almighty is his name— the Holy One of Israel is your Redeemer; he is called the God of all the earth."
"Isaiah 54:2-3","Enlarge the place of your tent, stretch your tent curtains wide, do not hold back; lengthen your cords, strengthen your stakes. For you will spread out to the right and to the left; your descendants will dispossess nations and settle in their desolate cities."
"Micah 7:7","But as for me, I watch in hope for the LORD, I wait for God my Savior; my God will hear me."
"Ezekiel 11:19","I will give them an undivided heart and put a new spirit in them; I will remove from them their heart of stone and give them a heart of flesh."
"Proverbs 23:18","There is surely a future hope for you, and your hope will not be cut off."
"1 Corinthians 15:58","Therefore, my beloved brothers, be steadfast, immovable, always abounding in the work of the Lord, knowing that in the Lord your labor is not in vain."
"Romans 15:13","Now the God of hope fill you with all joy and peace in believing, that you may abound in hope, through the power of the Holy Ghost."
"Nahum 1:7","The LORD is good, a strong hold in the day of trouble; and he knows them that trust in him."
"Lamentations 3:22-24","Because of the Lord’s great love we are not consumed, for his compassions never fail. They are new every morning; great is your faithfulness."
"2 Corinthians 9:8","And God is able to bless you abundantly, so that in all things at all times, having all that you need, you will abound in every good work."
"Zephaniah 3:17","The Lord your God is with you, the Mighty Warrior who saves. He will take great delight in you; in his love he will no longer rebuke you, but will rejoice over you with singing."
"Psalm 65:11","You crown the year with your bounty, and your carts overflow with abundance."
"Zechariah 4:6","Then he said to me, “This is the word of the Lord to Zerubbabel: Not by might, nor by power, but by my Spirit, says the Lord of hosts."
"Joshua 1:9","Have I not commanded you? Be strong and courageous. Do not be frightened, and do not be dismayed, for the Lord your God is with you wherever you go."
"Jeremiah 33:33","Call unto Me, and I will answer you, and show you great and mighty things, which you do not know."
"Isaiah 43:18-19","Forget the former things; do not dwell on the past. See, I am doing a new thing! Now it springs up; do you not perceive it? I am making a way in the wilderness and streams in the wasteland."
"Psalm 121:7-8","The Lord keeps you from all harm and watches over your life. The Lord keeps watch over you as you come and go, both now and forever."
"Jeremiah 30:17","But I will restore you to health and heal your wounds, declares the Lord."
"Psalm 138:7","Though I walk in the midst of trouble, you preserve my life. You stretch out your hand against the anger of my foes; with your right hand you save me."
"Isaiah 54:17","But in that coming day no weapon turned against you will succeed. You will silence every voice raised up to accuse you. These benefits are enjoyed by the servants of the Lord; their vindication will come from me."
"Exodus 14:14","The Lord will fight for you; you need only to be still."
"Psalm 37:40","The Lord helps them and delivers them; he delivers them from the wicked and saves them, because they take refuge in him."
"Deuteronomy 5:33","Stay on the path that the Lord your God has commanded you to follow. Then you will live long and prosperous lives in the land you are about to enter and occupy."
"Psalm 1:3","They are like trees planted along the riverbank, bearing fruit each season. Their leaves never wither, and they prosper in all they do."
"Isaiah 44:3","For I will pour water on the thirsty land, and streams on the dry ground; I will pour out my Spirit on your offspring, and my blessing on your descendants."
"Luke 12:22-24","Then, turning to his disciples, Jesus said, “That is why I tell you not to worry about everyday life—whether you have enough food to eat or enough clothes to wear. For life is more than food, and your body more than clothing. Look at the ravens. They don’t plant or harvest or store food in barns, for God feeds them. And you are far more valuable to him than any birds!"
"Philippians 4:19","And my God will meet all your needs according to the riches of his glory in Christ Jesus."
"Psalm 9:18","But God will never forget the needy; the hope of the afflicted will never perish."
"Lamentations 3:25","The Lord is good to those whose hope is in him, to the one who seeks him;"
"Matthew 21:22","If you believe, you will receive whatever you ask for in prayer."
"Job 36:11","If they obey and serve him, they will spend the rest of their days in Prosperity and their years in contentment."
"Exodus 23:25","Worship the Lord your God, and his blessing will be on your food and water. I will take away sickness from among you."
"Psalm 37:3-5","Trust in the Lord and do good; dwell in the land and enjoy safe pasture. Take delight in the Lord, and he will give you the desires of your heart. Commit your way to the Lord; trust in him and he will do this:"
"Ezekiel 36:27","And I will put my Spirit in you and move you to follow my decrees and be careful to keep my laws."
"Mark 11:22-23","Have faith in God,” Jesus answered. “Truly I tell you, if anyone says to this mountain, ‘Go, throw yourself into the sea,’ and does not doubt in their heart but believes that what they say will happen, it will be done for them"
"John 14:8","I will not leave you as orphans; I will come to you."
"Deuteronomy 20:4","For the Lord your God is the one who goes with you to fight for you against your enemies to give you victory."
"Psalm 85: 12 -13","The LORD will indeed give what is good, and our land will yield its harvest. Righteousness goes before him and prepares the way for his steps."
"Psalm 30:11","You have turned for me my mourning into dancing; You have loosed my sackcloth and girded me with gladness"
"Isaiah 41:10","So do not fear, for I am with you; do not be dismayed, for I am your God. I will strengthen you and help you; I will uphold you with my righteous right hand."
"Isaiah 40:31","But those who hope in the Lord will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint."
"Isaiah 43:2","When you pass through the waters, I will be with you; and when you pass through the rivers, they will not sweep over you. When you walk through the fire, you will not be burned; the flames will not set you ablaze."
"Matthew 7:7","Ask and it will be given to you; seek and you will find; knock and the door will be opened to you."
"Deuteronomy 7:9","Know therefore that the Lord your God is God; he is the faithful God, keeping his covenant of love to a thousand generations of those who love him and keep his commandments."
"Deuteronomy 31:8","The LORD himself goes before you and will be with you; he will never leave you norforsake you. Do not be afraid; do not be discouraged."
"Joshua 1:9","Have I not commanded you? Be strong and courageous. Do not be afraid; do not bediscouraged, for the Lord your God will be with you wherever you go."
"Psalm 23:4","Even though I walk through the darkest valley, I will fear no evil, for you are with me your rod and your staff, they comfort me."
"Philippians 4:6-7","Do not be anxious about anything, but in every situation, by prayer and petition, with thanksgiving, present your requests to God. And the peace of God, which transcends all understanding, will guard your hearts and your minds in Christ Jesus"
"Matthew 6:31-33","So do not worry, saying, ‘What shall we eat?’ or ‘What shall we drink?’ or ‘What shallwe wear?’ For the pagans run after all these things, and your heavenly Father knowsthat you need them. But seek first his kingdom and his righteousness, and all thesethings will be given to you as well."
"Proverbs 3:5-6","""Trust in the Lord with all your heart and lean not on your own understanding; in allyour ways submit to him, and he will make your paths straight."
"Matthew 7:9-11","Which of you, if your son asks for bread, will give him a stone? Or if he asks for a fish, will give him a snake? If you, then, though you are evil, know how to give good gifts to your children, how much more will your Father in heaven give good gifts to those who ask him!"
"2 Corinthians 9:8","And God is able to bless you abundantly, so that in all things at all times, having all that you need, you will abound in every good work."
"Psalm 34:10","The lions may grow weak and hungry, but those who seek the Lord lack no good thing."
"Romans 8:32","He who did not spare his own Son, but gave him up for us all—how will he not also, along with him, graciously give us all things"
" Matthew 11:28-30","Come to me, all you who are weary and burdened, and I will give you rest. Take my yoke upon you and learn from me, for I am gentle and humble in heart, and you will find rest for your souls. For my yoke is easy and my burden is light."
"Isaiah 61:1","The Spirit of the Sovereign Lord is on me, because the Lord has anointed me to proclaim good news to the poor. He has sent me to bind up the brokenhearted, to proclaim freedom for the captives and release from darkness for the prisoners"
"  James 1:5","If any of you lacks wisdom, you should ask God, who gives generously to all without finding fault, and it will be given to you."
"Mark 11:24","Therefore I tell you, whatever you ask for in prayer, believe that you have received it, and it will be yours."
"Psalm 37:4","Take delight in the Lord, and he will give you the desires of your heart."
"John 14:13"," And I will do whatever you ask in my name, so that the Father may be glorified in the Son. You may ask me for anything in my name, and I will do it."
"Luke  11:9-13","So I say to you: Ask and it will be given to you; seek and you will find; knock and the door will be opened to you. For everyone who asks receives; the one who seeks finds; and to the one who knocks, the door will be opened. Which of you fathers, if your son asks for a fish, will give him a snake instead? Or if he asks for an egg, will give him a scorpion? If you then, though you are evil, know how to give good gifts to your children, how much more will your Father in heaven give the Holy Spirit to those who ask him!"
"Psalm 48:14","For this God is our God forever and ever; he will be our guide even to the end."
"Genesis 28:15","I am with you and will watch over you wherever you go, and I will bring you back to this land. I will not leave you until I have done what I have promised you."
"Joshua 1:9","Have I not commanded you? Be strong and courageous. Do not be afraid; do not be discouraged, for the Lord your God will be with you wherever you go."
"Psalm 37:4","Though he may stumble, he will not fall, for the Lord upholds him with his hand."
"John 14:27","Peace I leave with you; my peace I give you. I do not give to you as the world gives. Do not let your hearts be troubled and do not be afraid."
"Romans 5:1","Therefore, since we have been made right in God’s sight by faith, we have peace with God because of what Jesus Christ our Lord has done for us."
"John 15:3 (NASB)","Abide in Me, and I in you. As the branch cannot bear fruit of itself unless it abides in the vine, so neither can you unless you abide in Me."
"Psalm 32:8","The Lord says, “I will guide you along the best pathway for your life. I will advise you and watch over you."
"Isaiah 32:17","The fruit of that righteousness will be peace its effect will be quietness and confidence forever."
"Psalm 9:10"," Those who know your name trust in you, for you, Lord, have never forsaken those who seek you"
"Isaiah 58:11","The Lord will guide you always; he will satisfy your needs in a sun-scorched land and will strengthen your frame. You will be like a well-watered garden, like a spring whose waters never fail"
"Isaiah 54:10","Though the mountains be shaken, and the hills be removed, yet my unfailing love for you will not be shaken nor my covenant of peace be removed,”says the Lord, who has compassion on you."
"1 Peter 2:9","You are a chosen people. You are royal priests, a holy nation, God’s very own possession. As a result, you can show others the goodness of God, for he called you out of the darkness into his wonderful light."
"Isaiah 43:1","But now, this is what the Lord says— he who created you, Jacob, He who formed you, Israel: Do not fear, for I have redeemed you; I have summoned you by name; you are mine."
"Isaiah 61:10","I am overwhelmed with joy in the Lord my God! For he has dressed me with the clothing of salvation and draped me in a robe of righteousness. I am like a bridegroom dressed for his wedding or a bride with her jewels"
"Jeremiah 29:11","For I know the plans I have for you,” declares the Lord, “plans to prosper you and not to harm you, plans to give you hope and a future."
